ai_feasibility,cost_of_error,data_noise,implicit_knowledge,logic,role,title,description
95.7,1,1,1,1,dev,Code linting and formatting,"Run and fix linting issues, format code according to standards"
95.7,1,1,1,1,dev,CODEOWNERS file creation,Setting up CODEOWNERS files for automatic PR review assignment
95.7,1,1,1,1,dev,API documentation generation,Generating API documentation from OpenAPI specs using Swagger UI
95.7,1,1,1,1,dev,Change log maintenance,Maintaining changelog file with version changes
95.7,1,1,1,1,dev,Code documentation generation,Generating documentation from code comments and annotations
95.7,1,1,1,1,dev,Git commit message validation,Implementing commit message format validation hooks
92.1,1,1,2,1,dev|product,GitHub issue template creation,"Creating issue templates for bugs, features, and documentation"
92.1,1,1,2,1,product|dev,GitHub project board setup,Configuring GitHub Projects for sprint tracking and backlog management
91.4,2,1,1,1,devops,GitHub branch protection rules,Configuring branch protection rules with required reviews and status checks
90.0,1,1,1,2,dev,Git pre-commit hooks,Writing pre-commit hooks for code quality checks
88.6,1,1,2,1,dev,Commit message writing,Write descriptive commit messages following conventional commit format
87.1,2,1,2,1,support,Support process documentation,Documenting support processes and procedures for internal use
87.1,2,1,1,2,dev,Branch management,"Create, maintain, and merge feature branches following Git workflow"
87.1,2,1,1,2,dev,API client SDK generation,Generating client SDKs from OpenAPI specifications
87.1,2,1,1,2,qe,Test environment cleanup,Cleaning up test environments and test data
87.1,2,1,1,2,devops,GitHub release asset management,Managing release assets and artifacts in GitHub releases
83.6,2,1,2,2,support,Support metrics tracking,"Tracking and reporting on key support metrics (resolution time, customer satisfaction, etc.)"
83.6,2,1,2,2,support,Support tooling configuration,"Setting up and configuring support tools (ticketing systems, knowledge bases)"
83.6,2,1,2,2,support,Automated response configuration,Configuring automated responses for common inquiries and issues
83.6,2,1,2,2,observability,Metrics retention policy design,Designing data retention policies for metrics with consideration for costs and utility
83.6,2,1,2,2,observability,Grafana dashboard optimization,Optimizing Grafana dashboards for performance and usability
83.6,2,1,2,2,observability,Alerting integration with ticketing,Integrating alerting systems with ticketing or incident management tools
83.6,2,1,2,2,devops,Infrastructure documentation,"Document infrastructure architecture, procedures, and configurations"
83.6,2,1,2,2,dev,Documentation writing,"Write technical documentation, API docs, and code comments"
83.6,2,1,2,2,dev,Pull request creation,"Create detailed pull requests with description, screenshots, and test plans"
83.6,2,1,2,2,dev,Environment configuration,"Set up development environment, configure IDE, install tools"
83.6,2,1,2,2,qe,Bug reporting,"Document and report bugs with clear reproduction steps, expected vs actual results"
83.6,2,1,2,2,qe,Test coverage analysis,Analyze test coverage and identify gaps in testing
83.6,2,1,2,2,qe,Cross-browser testing,Test application compatibility across different browsers and versions
83.6,2,1,2,2,qe,Test reporting,Generate and present test execution reports and metrics to stakeholders
83.6,2,1,2,2,qe,Smoke testing,Perform smoke tests to verify basic functionality after deployments
83.6,2,1,2,2,qe,Test documentation maintenance,Keep test documentation updated with latest test cases and procedures
83.6,2,1,2,2,qe,Defect tracking,Track and manage defects through their lifecycle using issue tracking tools
83.6,2,1,2,2,qe,Test pipeline monitoring,Monitor and analyze test pipeline execution in CI/CD
83.6,2,1,2,2,ux,Style guide creation,"Document design standards, patterns, and guidelines"
83.6,2,1,2,2,ux,Design handoff preparation,Prepare design specifications and assets for developer handoff
83.6,2,1,2,2,ux,Design documentation,"Document design decisions, rationale, and guidelines"
83.6,2,1,2,2,dev=java,JUnit test development,Writing unit tests in JUnit with mocking and assertions
83.6,2,1,2,2,dev=typescript,Jest test development,Writing unit and integration tests using Jest for JavaScript/TypeScript
83.6,2,1,2,2,dev=c#,xUnit test development,Creating unit tests using xUnit framework for .NET applications
83.6,2,1,2,2,dev=elixir,ExUnit test development,Writing tests using ExUnit framework for Elixir applications
83.6,2,1,2,2,dev=python,PyTest test development,Creating tests using PyTest with fixtures and parameterization
83.6,2,1,2,2,dev=typescript,React component testing,Writing component tests using React Testing Library
83.6,2,1,2,2,dev,OpenAPI specification writing,Creating OpenAPI/Swagger specifications for REST APIs
83.6,2,1,2,2,qe|dev,Code coverage analysis,"Analyzing code coverage using tools like Istanbul, JaCoCo, or coverage.py"
83.6,2,1,2,2,dev|devops,Static code analysis configuration,"Setting up SonarQube, ESLint, or similar static analysis tools"
83.6,2,1,2,2,dev|devops,Docker health check implementation,Writing Docker health checks for container monitoring
83.6,2,1,2,2,devops,GitHub Actions matrix builds,Configuring matrix builds for multiple environments in GitHub Actions
83.6,2,1,2,2,dev|devops,Semantic versioning implementation,Implementing semantic versioning for releases and APIs
