ai_feasibility,cost_of_error,data_noise,description,implicit_knowledge,logic,role,title
76.4,2,2,"Managing, categorizing, and prioritizing incoming customer support tickets",3,2,support,Support ticket management
57.1,3,3,"Diagnosing customer issues by reviewing logs, configurations, and system state",4,3,support,Customer issue diagnosis
80.0,2,2,Responding to initial customer inquiries following support scripts and guidelines,2,2,support,First-level support response
57.1,3,3,Providing in-depth technical support for complex issues,4,3,support,Second-level technical support
72.1,2,2,Reproducing customer-reported issues in test or staging environments,3,3,support,Issue reproduction
57.1,3,3,Analyzing customer environment specifics and configuration,4,3,support,Customer environment analysis
72.1,3,2,"Escalating support cases to appropriate teams (dev, ops, product) when necessary",3,2,support,Escalation management
76.4,2,2,"Creating clear, concise knowledge base articles documenting common issues and solutions",3,2,support,Knowledge base article creation
80.0,2,2,"Reviewing, updating, and improving existing knowledge base articles",2,2,support,Knowledge base maintenance
76.4,2,2,Creating scripts or templates for handling common support scenarios,3,2,support,Support script development
72.1,3,2,"Maintaining clear, professional communication with customers throughout issue resolution",3,2,support,Customer communication
83.6,2,1,"Tracking and reporting on key support metrics (resolution time, customer satisfaction, etc.)",2,2,support,Support metrics tracking
76.4,2,2,Conducting training sessions to help customers use the product effectively,3,2,support,Customer training delivery
76.4,2,2,"Creating documentation, videos, and other training materials for customers",3,2,support,Training materials development
76.4,2,2,Documenting confirmed bugs with clear reproduction steps for development team,3,2,support,Bug reporting and documentation
82.9,2,2,Gathering and documenting customer feature requests for product team,2,1,support,Feature request collection
80.0,2,2,"Collecting necessary data (logs, configurations) from customers for issue diagnosis",2,2,support,Customer data collection
67.9,3,2,Creating test environments that match customer configurations for testing,3,3,support,Customer environment replication
83.6,2,1,"Setting up and configuring support tools (ticketing systems, knowledge bases)",2,2,support,Support tooling configuration
67.9,3,3,Monitoring customer health metrics and identifying at-risk customers,3,2,support,Customer success tracking
87.1,2,1,Documenting support processes and procedures for internal use,2,1,support,Support process documentation
72.1,3,2,Providing dedicated support during customer onboarding process,3,2,support,Customer onboarding support
72.1,3,2,Communicating with affected customers after incidents or outages,3,2,support,Post-incident customer communication
72.9,2,3,Collecting and synthesizing customer feedback for product improvements,3,2,support,Product feedback aggregation
78.6,3,1,"Managing customer user accounts, permissions, and access",2,2,support,User account management
83.6,2,1,Configuring automated responses for common inquiries and issues,2,2,support,Automated response configuration
78.6,3,1,Tracking support SLAs and ensuring compliance with response time commitments,2,2,support,SLA monitoring and management
80.0,2,2,Implementing and analyzing customer satisfaction surveys,2,2,support,Customer satisfaction surveying
80.0,2,2,Implementing consistent ticket categorization and tagging for analysis,2,2,support,Ticket categorization and tagging
76.4,2,2,Maintaining a database of known issues and solutions,3,2,support,Solution database maintenance
76.4,2,2,Reviewing and suggesting improvements to customer-facing documentation,3,2,support,Customer-facing documentation review
51.4,4,2,Designing the overall monitoring architecture with multiple tools and data sources,4,3,observability,Monitoring stack architecture design
67.9,3,2,Developing a comprehensive strategy for metrics collection across the platform,3,3,observability,Metrics collection strategy
67.9,3,2,Designing the end-to-end logging pipeline from application to storage and analysis,3,3,observability,Logging pipeline design
67.9,3,2,Implementing distributed tracing across microservices with OpenTelemetry or similar,3,3,observability,Distributed tracing implementation
